Model,Data,Method,Metric,Mean,StdErr,ParamStr
lr,german,lime,PRA,0.9774548022598871,0.000361727493207005,
lr,german,lime,RC,0.9949135871075298,0.00013329505490709262,
lr,german,lime,FA,0.9706878637235781,0.0009781291173800038,_k_0.25_AUC_True
lr,german,lime,RA,0.836642138615353,0.007255623497437279,_k_0.25_AUC_True
lr,german,lime,SA,0.9706878637235781,0.0009781291173800038,_k_0.25_AUC_True
lr,german,lime,SRA,0.836642138615353,0.007255623497437279,_k_0.25_AUC_True
lr,german,lime,PGU,0.03527829787411194,0.0007360375623182063,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
lr,german,lime,PGI,0.025661075908605457,0.0006777434766947221,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
lr,german,lime,RIS,16112.4345703125,191.60382335129313,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
lr,german,lime,ROS,92608.84375,4669.102863551792,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
lr,german,shap,PRA,0.5058672316384181,0.0030824469339849297,
lr,german,shap,RC,-0.0002014448457905016,0.00908257715794948,
lr,german,shap,FA,0.17172173263244694,0.005828832262562625,_k_0.25_AUC_True
lr,german,shap,RA,0.026074907235621517,0.004862356522822199,_k_0.25_AUC_True
lr,german,shap,SA,0.17128711962640536,0.005824776594188332,_k_0.25_AUC_True
lr,german,shap,SRA,0.026074907235621517,0.004862356522822199,_k_0.25_AUC_True
lr,german,shap,PGU,0.039535990761859076,0.0008398590878078952,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
lr,german,shap,PGI,0.026416498180312505,0.0006002934033120869,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
lr,german,shap,RIS,29962.232421875,2193.258238642677,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
lr,german,shap,ROS,234182.84375,26301.05106797668,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
lr,german,pfi,PRA,0.6531073446327682,7.850462293418875e-18,
lr,german,pfi,RC,0.43657992920511346,3.9252311467094376e-18,
lr,german,pfi,FA,0.3701346272774845,3.9252311467094376e-18,_k_0.25_AUC_True
lr,german,pfi,RA,0.1989211185639757,1.9626155733547188e-18,_k_0.25_AUC_True
lr,german,pfi,SA,0.221218648415077,0.0019838937564206492,_k_0.25_AUC_True
lr,german,pfi,SRA,0.1780344011147582,0.004311933575743369,_k_0.25_AUC_True
lr,german,pfi,PGU,0.038594592818657736,0.0008084075570957623,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
lr,german,pfi,PGI,0.02427818154442191,0.0006273312455852687,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
