Model,Data,Method,Metric,Mean,StdErr,ParamStr
lr,german,shap,PRA,0.5058672316384181,0.0030824469339849297,
lr,german,shap,RC,-0.0002014448457905016,0.00908257715794948,
lr,german,shap,FA,0.17172173263244694,0.005828832262562625,_k_0.25_AUC_True
lr,german,shap,RA,0.026074907235621517,0.004862356522822199,_k_0.25_AUC_True
lr,german,shap,SA,0.17128711962640536,0.005824776594188332,_k_0.25_AUC_True
lr,german,shap,SRA,0.026074907235621517,0.004862356522822199,_k_0.25_AUC_True
lr,german,shap,PGU,0.039535990761859076,0.0008398590878078952,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
lr,german,shap,PGI,0.026416498180312505,0.0006002934033120869,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
lr,german,shap,RIS,29962.232421875,2193.258238642677,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
lr,german,shap,ROS,234182.84375,26301.05106797668,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
lr,heloc,shap,PRA,0.6010790513833992,0.002230543981653891,
lr,heloc,shap,RC,0.28574505928853755,0.0064056044758082934,
lr,heloc,shap,FA,0.19457999999999998,0.00386586216343349,_k_0.25_AUC_True
lr,heloc,shap,RA,0.03046666666666667,0.002381433741817451,_k_0.25_AUC_True
lr,heloc,shap,SA,0.1945633333333333,0.003866420737868839,_k_0.25_AUC_True
lr,heloc,shap,SRA,0.03046666666666667,0.002381433741817451,_k_0.25_AUC_True
lr,heloc,shap,PGU,0.09595602865809548,0.0026925925540725237,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
lr,heloc,shap,PGI,0.044917969274518396,0.001466771463909659,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
lr,heloc,shap,RIS,16257.7802734375,246.6310066569937,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
lr,heloc,shap,ROS,173066.34375,5234.695100783334,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
lr,synthetic,shap,PRA,0.6722947368421053,0.0019469864774800836,
lr,synthetic,shap,RC,0.4560691729323308,0.0049218612991171525,
lr,synthetic,shap,FA,0.25587083333333327,0.0044552748835727796,_k_0.25_AUC_True
lr,synthetic,shap,RA,0.05059583333333333,0.0029739159760556262,_k_0.25_AUC_True
lr,synthetic,shap,SA,0.25587083333333327,0.0044552748835727796,_k_0.25_AUC_True
lr,synthetic,shap,SRA,0.05059583333333333,0.0029739159760556262,_k_0.25_AUC_True
lr,synthetic,shap,PGU,0.09685470036137848,0.0006292571574925917,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
lr,synthetic,shap,PGI,0.042858436186332255,0.00022452555682332882,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
lr,synthetic,shap,RIS,716.9620971679688,11.8745794008128,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
lr,synthetic,shap,ROS,6661.68994140625,157.7272760354927,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
ann,german,shap,PGU,0.10331849157390202,0.006838583487132775,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
ann,german,shap,PGI,0.06352125829980809,0.00433065556123899,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
ann,german,shap,RIS,183204.875,2587.1158871228245,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
ann,german,shap,RRS,171368.15625,3194.601266529298,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
ann,german,shap,ROS,3866995.0,258018.77432691064,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
ann,heloc,shap,PGU,0.10643762581965728,0.0034230422092740792,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
ann,heloc,shap,PGI,0.044075600749890115,0.001797494809141772,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
ann,heloc,shap,RIS,38258.49609375,524.88633399656,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
ann,heloc,shap,RRS,37604.19140625,345.4969618830294,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
ann,heloc,shap,ROS,1520331.75,59301.485401511156,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
ann,synthetic,shap,PGU,0.19640855982655409,0.0050417068532713554,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
ann,synthetic,shap,PGI,0.11432417117718084,0.004449363499735993,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
ann,synthetic,shap,RIS,535781394.80158854,491400602.81168175,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
ann,synthetic,shap,RRS,688543768.0103893,629972322.8376061,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
ann,synthetic,shap,ROS,17686246537.497765,15078106302.094915,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
